pygame 2.0.1 (SDL 2.0.9, Python 3.7.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
         67296374 function calls (67291979 primitive calls) in 27.451 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       77    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
      318    0.000    0.000    0.001    0.000 __init__.py:2023(<genexpr>)
      762    0.000    0.000    0.001    0.000 __init__.py:2521(is_version_line)
       72    0.000    0.000    0.001    0.000 dsp.py:2378(project_rectangle)
      309    0.000    0.000    0.001    0.000 posixpath.py:144(basename)
      563    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     3061    0.000    0.000    0.000    0.000 gfx.py:179(alpha)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.mixer_music.load}
      224    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
       16    0.000    0.000    0.002    0.000 gfx.py:448(__init__)
      288    0.000    0.000    0.004    0.000 gfx.py:205(__str__)
       72    0.000    0.000    0.001    0.000 dsp.py:1515(project_polyline)
       44    0.000    0.000    0.000    0.000 {method 'size' of 'pygame.font.Font' objects}
     1892    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      136    0.000    0.000    0.001    0.000 __init__.py:2811(insert_on)
     1762    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
      144    0.000    0.000    0.001    0.000 r.py:439(_get_polyline_sprite)
      120    0.000    0.000    0.049    0.000 selectors.py:402(select)
     2532    0.000    0.000    0.000    0.000 dsp.py:2075(object_area_width)
       72    0.000    0.000    0.001    0.000 dsp.py:2490(project_polygon)
     2473    0.000    0.000    0.000    0.000 gfx.py:163(green)
      269    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     2309    0.000    0.000    0.000    0.000 dsp.py:3418(bbox_x)
       72    0.000    0.000    0.000    0.000 r.py:511(bl_update)
        7    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
     2309    0.000    0.000    0.000    0.000 dsp.py:3434(bbox_y)
      304    0.000    0.000    0.001    0.000 genericpath.py:39(isdir)
      148    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      158    0.000    0.000    0.000    0.000 warnings.py:474(__enter__)
      451    0.000    0.000    0.001    0.000 posixpath.py:64(isabs)
      144    0.000    0.000    0.001    0.000 dsp.py:1578(project_sprite)
      263    0.000    0.000    0.005    0.000 __init__.py:1406(has_metadata)
      136    0.000    0.000    0.011    0.000 __init__.py:2717(activate)
     2473    0.000    0.000    0.000    0.000 gfx.py:171(blue)
       77    0.000    0.000    0.001    0.000 r.py:679(o_update_collision_lists)
     1201    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      471    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
       26    0.000    0.000    0.002    0.000 traceback.py:318(extract)
      170    0.000    0.000    0.000    0.000 enum.py:526(__new__)
       77    0.000    0.000    0.021    0.000 sre_parse.py:919(parse)
     2664    0.000    0.000    0.000    0.000 dsp.py:1292(<lambda>)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      136    0.000    0.000    0.000    0.000 __init__.py:2837(<listcomp>)
      734    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
      144    0.000    0.000    0.072    0.000 dsp.py:2541(project_text)
